team,opportunities,successes,success_rate
Milwaukee Brewers,2931,1086,0.3705220061412487
Los Angeles Dodgers,2959,1091,0.3687056437985806
Tampa Bay Rays,2784,1021,0.36673850574712646
Pittsburgh Pirates,3024,1108,0.3664021164021164
Chicago Cubs,3037,1106,0.3641751728679618
St. Louis Cardinals,2897,1033,0.3565757680358992
New York Yankees,2859,1017,0.35571878279118574
Miami Marlins,2929,1041,0.35541140320928644
Washington Nationals,2966,1046,0.3526635198921106
Colorado Rockies,3044,1071,0.35183968462549275
Kansas City Royals,3007,1057,0.35151313601596273
Baltimore Orioles,3047,1060,0.3478831637676403
Minnesota Twins,2982,1036,0.3474178403755869
Chicago White Sox,2895,1001,0.3457685664939551
Athletics,3033,1045,0.3445433564127926
Los Angeles Angels,2972,1020,0.34320323014804843
Texas Rangers,2859,976,0.341378104232249
Cincinnati Reds,2895,988,0.34127806563039725
Atlanta Braves,2905,986,0.3394148020654045
Arizona Diamondbacks,2841,963,0.33896515311510034
Houston Astros,2998,1013,0.337891927951968
Seattle Mariners,2935,990,0.3373083475298126
San Francisco Giants,2960,998,0.33716216216216216
Cleveland Guardians,2911,980,0.3366540707660598
Detroit Tigers,2891,972,0.33621584226911105
Boston Red Sox,2773,929,0.33501622791200864
Toronto Blue Jays,2913,975,0.33470648815653964
San Diego Padres,2749,900,0.327391778828665
Philadelphia Phillies,2873,937,0.3261399234249913
New York Mets,2891,919,0.3178830854375649
